days	S_Mean	E_Mean	IP_Mean	IA_Mean	TotalInfectious	H_Mean	ICU_Mean	Recovered_Mean	DeadCovid_Mean
222	0.449536	0.118468	0.018054	0.004832	0.010293	0.000854	0.000066	0.397897	0.063781
223	0.443129	0.117130	0.017882	0.004801	0.010233	0.000854	0.000066	0.405905	0.065206
224	0.436875	0.115697	0.017689	0.004772	0.010182	0.000852	0.000066	0.413867	0.066618
225	0.430764	0.114213	0.017469	0.004745	0.010094	0.000853	0.000067	0.421795	0.068031
226	0.424816	0.112640	0.017259	0.004707	0.009999	0.000853	0.000067	0.429659	0.069438
227	0.419004	0.111030	0.017007	0.004659	0.009916	0.000854	0.000067	0.437462	0.070830
228	0.413337	0.109347	0.016792	0.004597	0.009806	0.000853	0.000067	0.445200	0.072216
229	0.407820	0.107593	0.016548	0.004553	0.009708	0.000855	0.000067	0.452856	0.073584
230	0.402446	0.105807	0.016288	0.004502	0.009593	0.000852	0.000067	0.460444	0.074941
231	0.397227	0.103990	0.015994	0.004446	0.009479	0.000853	0.000067	0.467943	0.076288
232	0.392150	0.102100	0.015751	0.004378	0.009343	0.000852	0.000067	0.475359	0.077614
233	0.387229	0.100174	0.015474	0.004332	0.009207	0.000852	0.000068	0.482664	0.078928
234	0.382430	0.098231	0.015193	0.004269	0.009074	0.000852	0.000068	0.489883	0.080221
235	0.377781	0.096222	0.014920	0.004207	0.008939	0.000852	0.000068	0.497011	0.081489
236	0.373265	0.094244	0.014601	0.004148	0.008791	0.000852	0.000069	0.504031	0.082749
237	0.368882	0.092235	0.014317	0.004055	0.008636	0.000852	0.000069	0.510954	0.083986
238	0.364639	0.090211	0.014009	0.004010	0.008473	0.000850	0.000069	0.517740	0.085204
239	0.360536	0.088147	0.013720	0.003928	0.008321	0.000849	0.000069	0.524430	0.086397
240	0.356562	0.086082	0.013412	0.003852	0.008176	0.000849	0.000069	0.530997	0.087570
241	0.352709	0.084031	0.013107	0.003769	0.008014	0.000849	0.000070	0.537452	0.088725
242	0.348977	0.081969	0.012822	0.003688	0.007846	0.000849	0.000070	0.543780	0.089854
243	0.345358	0.079955	0.012477	0.003624	0.007695	0.000851	0.000070	0.549970	0.090960
244	0.341901	0.077916	0.012165	0.003531	0.007508	0.000848	0.000071	0.556061	0.092048
245	0.338527	0.075880	0.011889	0.003453	0.007330	0.000850	0.000071	0.561999	0.093102
246	0.335280	0.073850	0.011577	0.003387	0.007184	0.000850	0.000071	0.567801	0.094135
247	0.332124	0.071874	0.011262	0.003310	0.007006	0.000851	0.000072	0.573502	0.095143
248	0.329102	0.069877	0.010980	0.003212	0.006839	0.000848	0.000072	0.579070	0.096132
249	0.326178	0.067922	0.010675	0.003143	0.006679	0.000850	0.000073	0.584482	0.097097
250	0.323351	0.065994	0.010376	0.003067	0.006508	0.000846	0.000074	0.589784	0.098041
251	0.320627	0.064088	0.010076	0.002992	0.006332	0.000848	0.000073	0.594963	0.098952
252	0.317984	0.062218	0.009798	0.002903	0.006162	0.000849	0.000073	0.600012	0.099835
253	0.315447	0.060371	0.009510	0.002827	0.006009	0.000850	0.000073	0.604914	0.100701
254	0.313002	0.058556	0.009228	0.002757	0.005842	0.000849	0.000073	0.609694	0.101549
255	0.310633	0.056768	0.008972	0.002678	0.005669	0.000850	0.000073	0.614357	0.102365
256	0.308348	0.055018	0.008707	0.002604	0.005511	0.000849	0.000073	0.618890	0.103157
257	0.306157	0.053290	0.008442	0.002532	0.005362	0.000849	0.000073	0.623295	0.103927
258	0.304044	0.051616	0.008167	0.002457	0.005213	0.000847	0.000074	0.627583	0.104673
259	0.302003	0.049980	0.007921	0.002376	0.005041	0.000849	0.000074	0.631756	0.105398
260	0.300025	0.048392	0.007660	0.002312	0.004895	0.000845	0.000075	0.635796	0.106095
261	0.298117	0.046810	0.007442	0.002238	0.004743	0.000847	0.000075	0.639727	0.106765
262	0.296291	0.045276	0.007194	0.002177	0.004607	0.000846	0.000076	0.643531	0.107419
263	0.294531	0.043775	0.006965	0.002105	0.004467	0.000847	0.000076	0.647234	0.108055
264	0.292829	0.042318	0.006736	0.002043	0.004323	0.000847	0.000076	0.650829	0.108664
265	0.291183	0.040900	0.006517	0.001979	0.004186	0.000846	0.000076	0.654314	0.109251
266	0.289602	0.039524	0.006291	0.001920	0.004048	0.000846	0.000077	0.657692	0.109819
267	0.288080	0.038177	0.006086	0.001850	0.003917	0.000846	0.000078	0.660967	0.110364
268	0.286604	0.036874	0.005885	0.001791	0.003794	0.000846	0.000078	0.664127	0.110893
269	0.285190	0.035600	0.005679	0.001737	0.003678	0.000847	0.000079	0.667190	0.111403
270	0.283830	0.034357	0.005484	0.001680	0.003557	0.000846	0.000079	0.670167	0.111893
271	0.282506	0.033166	0.005298	0.001622	0.003437	0.000846	0.000079	0.673046	0.112364
272	0.281233	0.032018	0.005104	0.001565	0.003323	0.000846	0.000080	0.675831	0.112818
273	0.280005	0.030894	0.004937	0.001501	0.003212	0.000846	0.000081	0.678524	0.113253
274	0.278824	0.029807	0.004758	0.001459	0.003104	0.000846	0.000082	0.681120	0.113667
275	0.277686	0.028748	0.004597	0.001412	0.002988	0.000846	0.000081	0.683641	0.114073
276	0.276585	0.027729	0.004426	0.001365	0.002887	0.000845	0.000082	0.686082	0.114460
277	0.275523	0.026748	0.004260	0.001316	0.002783	0.000846	0.000081	0.688443	0.114827
278	0.274493	0.025788	0.004123	0.001263	0.002687	0.000846	0.000082	0.690718	0.115175
279	0.273502	0.024860	0.003976	0.001230	0.002597	0.000846	0.000083	0.692906	0.115514
280	0.272541	0.023964	0.003838	0.001188	0.002501	0.000846	0.000083	0.695038	0.115839
281	0.271613	0.023103	0.003702	0.001139	0.002418	0.000846	0.000083	0.697096	0.116148
282	0.270716	0.022275	0.003572	0.001099	0.002327	0.000847	0.000084	0.699080	0.116444
283	0.269858	0.021467	0.003448	0.001062	0.002242	0.000847	0.000084	0.700992	0.116731
284	0.269023	0.020691	0.003327	0.001024	0.002163	0.000846	0.000084	0.702843	0.117002
