days	S_Mean	E_Mean	IP_Mean	IA_Mean	TotalInfectious	H_Mean	ICU_Mean	Recovered_Mean	DeadCovid_Mean
138	0.072879	0.073520	0.061075	0.019955	0.051074	0.001149	0.000114	0.720235	0.003656
139	0.070316	0.066692	0.056309	0.018599	0.048382	0.001151	0.000115	0.738435	0.003479
140	0.068192	0.060395	0.051738	0.017273	0.045614	0.001151	0.000115	0.755523	0.003316
141	0.066435	0.054635	0.047375	0.015978	0.042804	0.001150	0.000116	0.771507	0.003141
142	0.064964	0.049368	0.043262	0.014708	0.040004	0.001151	0.000116	0.786427	0.002943
143	0.063769	0.044551	0.039382	0.013505	0.037255	0.001150	0.000115	0.800273	0.002767
144	0.062784	0.040182	0.035757	0.012358	0.034580	0.001149	0.000116	0.813075	0.002572
145	0.061970	0.036227	0.032430	0.011273	0.031980	0.001152	0.000116	0.824852	0.002401
146	0.061317	0.032625	0.029366	0.010278	0.029469	0.001149	0.000117	0.835679	0.002225
147	0.060781	0.029375	0.026554	0.009337	0.027089	0.001150	0.000117	0.845597	0.002061
148	0.060347	0.026463	0.023966	0.008473	0.024815	0.001151	0.000118	0.854667	0.001907
149	0.060010	0.023816	0.021634	0.007660	0.022668	0.001148	0.000119	0.862945	0.001755
150	0.059736	0.021431	0.019508	0.006929	0.020672	0.001150	0.000119	0.870455	0.001608
151	0.059514	0.019273	0.017584	0.006239	0.018825	0.001151	0.000120	0.877295	0.001467
152	0.059341	0.017336	0.015827	0.005636	0.017101	0.001151	0.000120	0.883489	0.001344
153	0.059204	0.015587	0.014252	0.005079	0.015505	0.001151	0.000121	0.889101	0.001224
154	0.059085	0.014022	0.012820	0.004575	0.014052	0.001150	0.000122	0.894175	0.001103
155	0.058995	0.012597	0.011541	0.004116	0.012708	0.001150	0.000123	0.898771	0.001003
156	0.058919	0.011321	0.010371	0.003709	0.011489	0.001150	0.000125	0.902916	0.000906
157	0.058856	0.010176	0.009315	0.003344	0.010375	0.001150	0.000126	0.906656	0.000820
158	0.058806	0.009139	0.008378	0.003005	0.009357	0.001152	0.000127	0.910036	0.000737
159	0.058753	0.008212	0.007525	0.002705	0.008441	0.001151	0.000129	0.913085	0.000657
160	0.058708	0.007372	0.006765	0.002430	0.007606	0.001150	0.000131	0.915838	0.000593
161	0.058657	0.006624	0.006085	0.002186	0.006850	0.001150	0.000133	0.918316	0.000524
162	0.058611	0.005956	0.005462	0.001966	0.006162	0.001151	0.000135	0.920556	0.000465
163	0.058570	0.005344	0.004912	0.001764	0.005544	0.001150	0.000136	0.922578	0.000418
164	0.058524	0.004799	0.004410	0.001588	0.004990	0.001148	0.000139	0.924402	0.000365
165	0.058475	0.004305	0.003962	0.001423	0.004493	0.001150	0.000142	0.926049	0.000320
166	0.058432	0.003867	0.003554	0.001277	0.004033	0.001150	0.000145	0.927542	0.000287
167	0.058385	0.003474	0.003187	0.001150	0.003625	0.001152	0.000148	0.928878	0.000251
168	0.058339	0.003120	0.002859	0.001035	0.003257	0.001150	0.000151	0.930087	0.000219
169	0.058284	0.002808	0.002565	0.000930	0.002929	0.001151	0.000154	0.931180	0.000186
170	0.058233	0.002530	0.002297	0.000830	0.002626	0.001152	0.000157	0.932175	0.000165
171	0.058177	0.002278	0.002058	0.000745	0.002359	0.001150	0.000161	0.933072	0.000138
172	0.058118	0.002051	0.001850	0.000666	0.002121	0.001150	0.000164	0.933880	0.000114
173	0.058055	0.001848	0.001658	0.000598	0.001908	0.001149	0.000169	0.934615	0.000094
174	0.057990	0.001668	0.001487	0.000537	0.001713	0.001149	0.000173	0.935283	0.000076
175	0.057922	0.001506	0.001333	0.000481	0.001540	0.001151	0.000177	0.935890	0.000060
176	0.057856	0.001360	0.001201	0.000429	0.001381	0.001151	0.000181	0.936441	0.000049
177	0.057791	0.001231	0.001078	0.000383	0.001241	0.001147	0.000185	0.936944	0.000039
178	0.057721	0.001118	0.000970	0.000344	0.001112	0.001142	0.000190	0.937403	0.000027
179	0.057653	0.001016	0.000869	0.000312	0.001000	0.001136	0.000195	0.937820	0.000019
180	0.057594	0.000924	0.000783	0.000278	0.000896	0.001127	0.000197	0.938203	0.000017
181	0.057537	0.000839	0.000706	0.000252	0.000806	0.001110	0.000199	0.938552	0.000014
182	0.057484	0.000764	0.000636	0.000227	0.000724	0.001089	0.000202	0.938874	0.000011
183	0.057435	0.000698	0.000571	0.000205	0.000653	0.001063	0.000204	0.939171	0.000010
184	0.057392	0.000640	0.000515	0.000185	0.000583	0.001033	0.000204	0.939447	0.000010
185	0.057353	0.000586	0.000464	0.000166	0.000525	0.000999	0.000206	0.939701	0.000010
186	0.057321	0.000536	0.000420	0.000150	0.000469	0.000960	0.000207	0.939937	0.000011
187	0.057291	0.000492	0.000380	0.000136	0.000421	0.000919	0.000208	0.940153	0.000011
188	0.057266	0.000453	0.000343	0.000121	0.000380	0.000872	0.000208	0.940356	0.000011
189	0.057243	0.000418	0.000311	0.000108	0.000344	0.000826	0.000208	0.940543	0.000011
190	0.057223	0.000386	0.000281	0.000098	0.000310	0.000778	0.000207	0.940715	0.000011
191	0.057205	0.000358	0.000256	0.000090	0.000279	0.000731	0.000207	0.940876	0.000010
192	0.057189	0.000332	0.000232	0.000082	0.000253	0.000682	0.000206	0.941023	0.000010
193	0.057175	0.000309	0.000211	0.000074	0.000228	0.000635	0.000205	0.941162	0.000010
194	0.057162	0.000288	0.000192	0.000067	0.000207	0.000588	0.000205	0.941290	0.000009
195	0.057153	0.000268	0.000175	0.000061	0.000187	0.000543	0.000203	0.941411	0.000010
196	0.057144	0.000250	0.000159	0.000056	0.000169	0.000498	0.000201	0.941523	0.000009
197	0.057138	0.000234	0.000146	0.000050	0.000154	0.000454	0.000198	0.941626	0.000010
198	0.057132	0.000219	0.000134	0.000046	0.000138	0.000414	0.000196	0.941721	0.000009
199	0.057128	0.000205	0.000122	0.000042	0.000126	0.000377	0.000193	0.941807	0.000010
200	0.057125	0.000194	0.000111	0.000038	0.000114	0.000342	0.000189	0.941887	0.000009
201	0.057122	0.000183	0.000102	0.000034	0.000104	0.000309	0.000185	0.941961	0.000010
202	0.057121	0.000173	0.000094	0.000031	0.000095	0.000280	0.000179	0.942027	0.000010
203	0.057121	0.000164	0.000085	0.000029	0.000087	0.000254	0.000174	0.942087	0.000010
204	0.057121	0.000155	0.000078	0.000026	0.000080	0.000230	0.000168	0.942143	0.000009
205	0.057122	0.000147	0.000072	0.000024	0.000072	0.000208	0.000162	0.942194	0.000009
206	0.057124	0.000140	0.000066	0.000023	0.000065	0.000188	0.000155	0.942239	0.000009
207	0.057126	0.000134	0.000059	0.000022	0.000061	0.000170	0.000148	0.942282	0.000010
208	0.057128	0.000128	0.000054	0.000018	0.000055	0.000153	0.000141	0.942322	0.000009
209	0.057131	0.000122	0.000049	0.000017	0.000051	0.000139	0.000135	0.942356	0.000008
210	0.057133	0.000118	0.000045	0.000016	0.000046	0.000126	0.000128	0.942388	0.000008
211	0.057137	0.000113	0.000041	0.000014	0.000043	0.000114	0.000121	0.942418	0.000008
212	0.057140	0.000109	0.000038	0.000013	0.000039	0.000104	0.000114	0.942444	0.000008
213	0.057143	0.000105	0.000035	0.000011	0.000035	0.000094	0.000107	0.942469	0.000008
214	0.057146	0.000102	0.000032	0.000011	0.000032	0.000086	0.000101	0.942491	0.000007
215	0.057150	0.000098	0.000030	0.000010	0.000029	0.000078	0.000094	0.942511	0.000007
216	0.057154	0.000095	0.000028	0.000009	0.000027	0.000071	0.000087	0.942529	0.000007
217	0.057157	0.000093	0.000026	0.000008	0.000025	0.000064	0.000081	0.942547	0.000007
218	0.057160	0.000090	0.000024	0.000007	0.000022	0.000058	0.000075	0.942563	0.000006
219	0.057163	0.000088	0.000022	0.000007	0.000021	0.000052	0.000069	0.942577	0.000005
220	0.057166	0.000086	0.000020	0.000007	0.000019	0.000048	0.000065	0.942590	0.000005
221	0.057168	0.000084	0.000019	0.000006	0.000018	0.000044	0.000060	0.942602	0.000005
222	0.057171	0.000082	0.000017	0.000006	0.000016	0.000040	0.000055	0.942613	0.000005
223	0.057174	0.000080	0.000015	0.000005	0.000015	0.000037	0.000050	0.942623	0.000005
224	0.057176	0.000079	0.000014	0.000005	0.000014	0.000034	0.000046	0.942633	0.000004
225	0.057179	0.000078	0.000012	0.000004	0.000013	0.000030	0.000042	0.942641	0.000004
226	0.057181	0.000076	0.000011	0.000004	0.000011	0.000028	0.000038	0.942649	0.000004
227	0.057183	0.000075	0.000010	0.000003	0.000010	0.000026	0.000035	0.942657	0.000003
228	0.057185	0.000074	0.000010	0.000003	0.000009	0.000024	0.000031	0.942663	0.000003
229	0.057188	0.000073	0.000009	0.000003	0.000008	0.000022	0.000028	0.942669	0.000003
230	0.057189	0.000072	0.000008	0.000003	0.000008	0.000020	0.000026	0.942675	0.000002
231	0.057191	0.000071	0.000007	0.000003	0.000007	0.000018	0.000023	0.942680	0.000003
232	0.057192	0.000070	0.000007	0.000002	0.000006	0.000016	0.000021	0.942685	0.000002
233	0.057193	0.000070	0.000006	0.000002	0.000006	0.000015	0.000019	0.942688	0.000002
234	0.057194	0.000069	0.000006	0.000002	0.000006	0.000014	0.000017	0.942692	0.000002
235	0.057195	0.000068	0.000005	0.000002	0.000005	0.000013	0.000015	0.942696	0.000002
236	0.057196	0.000068	0.000005	0.000002	0.000005	0.000012	0.000014	0.942699	0.000001
237	0.057197	0.000068	0.000005	0.000001	0.000004	0.000011	0.000013	0.942702	0.000001
238	0.057198	0.000067	0.000004	0.000001	0.000004	0.000010	0.000012	0.942704	0.000001
239	0.057198	0.000066	0.000004	0.000001	0.000004	0.000009	0.000011	0.942707	0.000001
240	0.057199	0.000066	0.000003	0.000001	0.000004	0.000009	0.000010	0.942709	0.000001
241	0.057199	0.000066	0.000003	0.000001	0.000003	0.000008	0.000009	0.942711	0.000001
242	0.057200	0.000066	0.000003	0.000001	0.000003	0.000007	0.000008	0.942713	0.000001
243	0.057200	0.000065	0.000003	0.000001	0.000003	0.000007	0.000007	0.942715	0.000001
244	0.057200	0.000065	0.000002	0.000001	0.000002	0.000006	0.000007	0.942716	0.000001
245	0.057201	0.000065	0.000002	0.000001	0.000002	0.000006	0.000006	0.942718	0.000001
246	0.057201	0.000065	0.000002	0.000001	0.000002	0.000005	0.000006	0.942719	0.000000
247	0.057201	0.000064	0.000002	0.000001	0.000002	0.000005	0.000005	0.942720	0.000000
248	0.057201	0.000064	0.000002	0.000001	0.000002	0.000004	0.000005	0.942722	0.000000
249	0.057202	0.000064	0.000001	0.000001	0.000001	0.000004	0.000004	0.942723	0.000000
250	0.057202	0.000064	0.000001	0.000000	0.000001	0.000004	0.000004	0.942724	0.000000
251	0.057202	0.000064	0.000001	0.000001	0.000001	0.000003	0.000004	0.942724	0.000000
252	0.057202	0.000064	0.000001	0.000000	0.000001	0.000003	0.000003	0.942725	0.000000
253	0.057202	0.000063	0.000001	0.000000	0.000001	0.000003	0.000003	0.942726	0.000000
254	0.057202	0.000063	0.000001	0.000000	0.000001	0.000002	0.000003	0.942727	0.000000
255	0.057202	0.000063	0.000001	0.000000	0.000001	0.000002	0.000003	0.942727	0.000000
256	0.057203	0.000063	0.000001	0.000000	0.000001	0.000002	0.000003	0.942728	0.000000
257	0.057203	0.000063	0.000001	0.000000	0.000001	0.000002	0.000002	0.942728	0.000000
258	0.057203	0.000063	0.000001	0.000000	0.000001	0.000002	0.000002	0.942729	0.000000
259	0.057203	0.000063	0.000001	0.000000	0.000001	0.000001	0.000002	0.942729	0.000000
260	0.057203	0.000063	0.000001	0.000000	0.000001	0.000001	0.000002	0.942730	0.000000
261	0.057203	0.000063	0.000001	0.000000	0.000001	0.000001	0.000002	0.942730	0.000000
262	0.057203	0.000063	0.000000	0.000000	0.000000	0.000001	0.000001	0.942730	0.000000
263	0.057203	0.000062	0.000000	0.000000	0.000000	0.000001	0.000001	0.942731	0.000000
264	0.057204	0.000062	0.000000	0.000000	0.000000	0.000001	0.000001	0.942731	0.000000
265	0.057204	0.000062	0.000000	0.000000	0.000000	0.000001	0.000001	0.942731	0.000000
266	0.057204	0.000062	0.000000	0.000000	0.000000	0.000001	0.000001	0.942732	0.000000
267	0.057204	0.000062	0.000000	0.000000	0.000000	0.000001	0.000001	0.942732	0.000000
268	0.057204	0.000062	0.000000	0.000000	0.000000	0.000001	0.000001	0.942732	0.000000
269	0.057204	0.000062	0.000000	0.000000	0.000000	0.000001	0.000001	0.942732	0.000000
270	0.057204	0.000062	0.000000	0.000000	0.000000	0.000001	0.000001	0.942732	0.000000
271	0.057204	0.000062	0.000000	0.000000	0.000000	0.000001	0.000001	0.942732	0.000000
272	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000001	0.942732	0.000000
273	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
274	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
275	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
276	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
277	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
278	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
279	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
280	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
281	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
282	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
283	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
284	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
285	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
286	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
287	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
288	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
289	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
290	0.057204	0.000062	0.000000	0.000000	0.000000	0.000000	0.000000	0.942733	0.000000
